Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,con_escala,consumo_kg,duracion,ingresos
Air_GiCi_11320,Airnar,Ginebra,Cincinnati,6969,Airbus A320,True,18191.8776,624,270150.73
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,True,191268.781184,1305,953521.27
Tab_RoNu_10737,TabarAir,Roma,Nueva York,6877,Boeing 737,False,18382.221,542,248170.66
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480,Airbus A380,False,89062.864,518,481741.1
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,True,189491.65872,1200,937528.57
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,35378.8344,224,182534.23
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,True,180074.399648,1272,963732.34
Tab_LoGi_11320,TabarAir,Londres,Ginebra,739,Airbus A320,False,1854.89,73,28976.53
Tab_GiNu_11380,TabarAir,Ginebra,Nueva York,6206,Airbus A380,False,75328.428,433,403373.01
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284,Boeing 747,False,70336.812,438,364925.44
Air_CiCa_10747,Airnar,Cincinnati,Cádiz,6624,Boeing 747,False,77673.024,461,406616.7
Mol_CiCa_11320,MoldaviAir,Cincinnati,Cádiz,6624,Airbus A320,True,18155.85408,600,253091.84
Air_BaGi_10747,Airnar,Bali,Ginebra,12383,Boeing 747,False,138602.919,845,743737.84
Air_CaLo_11320,Airnar,Cádiz,Los Angeles,9373,Airbus A320,True,25445.970368,799,375988.83
Fly_RoCi_11380,FlyQ,Roma,Cincinnati,7480,Airbus A380,False,90792.24,518,461132.41
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480,Airbus A380,False,88198.176,518,490784.1
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,True,191296.341184,1200,958617.02
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,True,18555.715152,624,278084.62
Air_LoBa_10747,Airnar,Los Angeles,Bali,12845,Boeing 747,True,148101.00032,1056,763153.18
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,True,183485.8688,1217,1006425.52
Air_CiPa_11380,Airnar,Cincinnati,París,6370,Airbus A380,False,81000.92,444,385380.29
Mol_PaLo_10747,MoldaviAir,París,Londres,344,Boeing 747,False,3850.392,42,20473.71
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,True,149691.676992,1049,761154.21
Tab_LoGi_11380,TabarAir,Londres,Ginebra,739,Airbus A380,False,9140.838800000001,69,48060.89
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845,Airbus A380,False,163337.02,876,770994.1
Mol_BaPa_11380,MoldaviAir,Bali,París,11980,Airbus A380,False,149567.904,818,786396.13
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,True,178067.206928,1200,910278.42
Tab_RoNu_11320,TabarAir,Roma,Nueva York,6877,Airbus A320,True,18131.238008,618,279534.74
Tab_GiRo_11380,TabarAir,Ginebra,Roma,698,Airbus A380,False,8068.88,66,45881.01
Fly_BaBa_11380,FlyQ,Barcelona,Bali,13058,Airbus A380,True,169547.579136,1070,843417.83
Fly_GiRo_10747,FlyQ,Ginebra,Roma,698,Boeing 747,False,8110.341200000001,66,40315.51
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,112596.8276,626,563483.26
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,False,8098.8915,242,116462.81
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073,Boeing 747,False,34068.5072,224,188281.64
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,False,16504.7714,116,86382.34
Pam_GiLo_11320,PamPangea,Ginebra,Londres,739,Airbus A320,False,2003.2812,73,29144.66
Tab_CiRo_11380,TabarAir,Cincinnati,Roma,7480,Airbus A380,False,87333.488,518,480168.35
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1805.694,67,27132.08
Tab_LoGi_11320,TabarAir,Los Angeles,Ginebra,9103,Airbus A320,True,26138.71832,779,346038.61
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553,Boeing 747,False,137829.4294,856,772668.24
Air_BaCa_10747,Airnar,Bali,Cádiz,12798,Boeing 747,True,141883.7472,1053,736530.54
Air_PaCa_11320,Airnar,París,Cádiz,1447,Airbus A320,False,3922.5276,124,58349.67
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,108387.6004,626,596722.74
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,True,37935.7992,1340,544087.81
Tab_LoRo_11380,TabarAir,Londres,Roma,1433,Airbus A380,False,16731.1348,115,92166.24
Fly_GiBa_10747,FlyQ,Ginebra,Barcelona,660,Boeing 747,False,7246.668000000001,64,39176.01
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,False,87710.48000000001,518,442722.98
Fly_NuCi_11320,FlyQ,Nueva York,Cincinnati,911,Airbus A320,False,2286.61,86,37073.88
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,True,41270.03524800001,1359,532426.22
Mol_CaLo_11380,MoldaviAir,Cádiz,Londres,1716,Airbus A380,False,20432.0688,134,107529.92
Pam_BaGi_10737,PamPangea,Bali,Ginebra,12383,Boeing 737,True,32859.03348000001,1140,435383.65
Air_LoCa_10747,Airnar,Los Angeles,Cádiz,9373,Boeing 747,False,102913.6654,644,558916.7
Mol_BaMe_11380,MoldaviAir,Bali,Melbourne,2779,Airbus A380,False,33731.502,205,178872.9
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,True,33157.21780800001,1167,434090.32
Pam_NuLo_11380,PamPangea,Nueva York,Londres,5566,Airbus A380,False,68203.53760000001,391,339708.1
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925,Boeing 747,True,198895.5592,1328,1040203.31
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,False,76518.2262,484,423323.89
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103,Boeing 737,False,22562.6958,711,319317.4
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,False,36033.998,224,176237.47
Pam_BaPa_10747,PamPangea,Bali,París,11980,Boeing 747,False,132815.072,818,689854.62
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566,Boeing 737,False,13660.6338,442,199978.27
Mol_CiBa_10737,MoldaviAir,Cincinnati,Bali,15011,Boeing 737,True,40591.30514400001,1340,508746.33
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,False,7533.3132,221,113935.54
Pam_LoGi_10737,PamPangea,Londres,Ginebra,739,Boeing 737,False,1849.6431,76,25300.79
Tab_NuCi_11380,TabarAir,Nueva York,Cincinnati,911,Airbus A380,False,10636.4716,80,55122.45
Tab_LoLo_11380,TabarAir,Los Angeles,Londres,8785,Airbus A380,False,108663.422,605,527460.26
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,True,185751.412496,1305,1005296.14
Mol_CaPa_11380,MoldaviAir,Cádiz,París,1447,Airbus A380,False,18400.052,116,91217.9
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,False,137282.8912,845,753226.68
Air_CaLo_11380,Airnar,Cádiz,Los Angeles,9373,Airbus A380,False,111602.4364,644,566093.15
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1689.732,67,25309.54
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553,Boeing 747,False,133814.98,856,737511.61
Tab_RoGi_10747,TabarAir,Roma,Ginebra,698,Boeing 747,False,8035.934400000001,66,42073.88
Pam_BaNu_10737,PamPangea,Bali,Nueva York,16589,Boeing 737,True,43181.43242400001,1459,613754.55
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,False,134092.14,818,737139.73
Air_CiPa_10737,Airnar,Cincinnati,París,6370,Boeing 737,False,17027.01,503,232331.04
Air_LoBa_10747,Airnar,Los Angeles,Bali,12845,Boeing 747,True,149525.0484,1056,738241.39
Pam_NuPa_10737,PamPangea,Nueva York,París,5835,Boeing 737,False,14179.05,463,203192.72
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,10077,Airbus A320,True,27357.200832,850,398312.87
Mol_MeBa_10747,MoldaviAir,Melbourne,Bali,2779,Boeing 747,False,31697.8298,205,168431.23
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911,Boeing 747,False,10585.2734,80,51984.47
Tab_RoLo_11380,TabarAir,Roma,Los Angeles,10077,Airbus A380,False,119984.8236,691,614848.04
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,True,19283.390256,624,279409.02
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,True,51629.634576,1721,709663.9
Air_PaGi_11380,Airnar,París,Ginebra,411,Airbus A380,False,5083.7412,47,26921.99
Pam_PaBa_11380,PamPangea,París,Bali,11980,Airbus A380,False,148183.016,818,726544.74
Pam_NuBa_11380,PamPangea,Nueva York,Bali,16589,Airbus A380,True,205422.781408,1305,1076927.04
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,False,141242.9746,845,699278.57
Air_LoBa_11380,Airnar,Los Angeles,Bali,12845,Airbus A380,False,154427.728,876,784272.16
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,True,44911.503,1485,616569.14
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,False,8253.1561,242,118739.55
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206,Boeing 737,False,15231.3858,491,213893.2
Mol_CaPa_11320,MoldaviAir,Cádiz,París,1447,Airbus A320,False,3995.167,124,57539.57
Air_CiPa_10747,Airnar,Cincinnati,París,6370,Boeing 747,False,74694.62000000001,444,391639.16
Pam_LoPa_10747,PamPangea,Londres,París,344,Boeing 747,False,3740.3808,42,20965.83
Tab_CiGi_11380,TabarAir,Cincinnati,Ginebra,6969,Airbus A380,False,80561.64,484,435471.46
Fly_CiGi_10737,FlyQ,Cincinnati,Ginebra,6969,Boeing 737,False,17781.4035,549,238034.31
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077,Boeing 747,False,111717.6528,691,623089.41
Tab_NuRo_10737,TabarAir,Nueva York,Roma,6877,Boeing 737,False,17379.5544,542,240972.01
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206,Boeing 747,False,69463.75800000002,433,371487.2
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624,Boeing 747,False,76966.9056,461,379676.02
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,False,83723.64,518,430715.06
Air_LoCi_11320,Airnar,Los Angeles,Cincinnati,3073,Airbus A320,False,8330.2884,242,117587.87
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,True,19028.824048,618,277928.68
Pam_GiPa_10747,PamPangea,Ginebra,París,411,Boeing 747,False,4775.5734,47,23372.28
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,False,16345.0846,115,82105.96
Tab_LoCi_11320,TabarAir,Los Angeles,Cincinnati,3073,Airbus A320,False,8176.0238,242,118656.28
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944,Boeing 747,False,42463.4704,282,227189.58
Tab_NuCi_10747,TabarAir,Nueva York,Cincinnati,911,Boeing 747,False,10196.823,80,53019.72
Tab_LoNu_11320,TabarAir,Los Angeles,Nueva York,3944,Airbus A320,False,10790.3896,305,159835.37
Pam_BaPa_11380,PamPangea,Bali,París,11980,Airbus A380,False,150952.792,818,747176.52
Pam_GiMe_10747,PamPangea,Ginebra,Melbourne,16674,Boeing 747,True,194097.36528,1311,940192.56
Fly_NuRo_10747,FlyQ,Nueva York,Roma,6877,Boeing 747,False,74041.9082,478,403437.73
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698,Boeing 737,False,1747.0242,73,24339.59
Tab_GiLo_10737,TabarAir,Ginebra,Los Angeles,9103,Boeing 737,False,22120.29,711,331029.59
Pam_LoBa_10737,PamPangea,Londres,Bali,12553,Boeing 737,True,32992.899264,1153,461570.18
Fly_GiNu_11320,FlyQ,Ginebra,Nueva York,6206,Airbus A320,True,17010.14952,569,251019.75
Fly_NuBa_10747,FlyQ,Nueva York,Bali,16589,Boeing 747,True,194947.026976,1305,941485.73
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206,Airbus A380,False,76763.2552,433,376024.98
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103,Boeing 737,False,23889.9132,711,326405.35
Fly_NuRo_11320,FlyQ,Nueva York,Roma,6877,Airbus A320,True,18490.272424,618,265041.5
Tab_GiLo_10737,TabarAir,Ginebra,Londres,739,Boeing 737,False,1885.5585,76,26971.64
Fly_NuGi_11380,FlyQ,Nueva York,Ginebra,6206,Airbus A380,False,73176.1872,433,379321.71
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,False,14472.1566,442,196377.75
Mol_BaCa_11380,MoldaviAir,Bali,Cádiz,12798,Airbus A380,False,156821.5728,873,775561.08
Mol_CiCa_11380,MoldaviAir,Cincinnati,Cádiz,6624,Airbus A380,False,79636.3776,461,399927.63
Pam_BaLo_11380,PamPangea,Bali,Londres,12553,Airbus A380,False,146563.8068,856,754703.0
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,71033.976,431,366565.91
Mol_LoMe_11380,MoldaviAir,Londres,Melbourne,16900,Airbus A380,True,213337.488,1326,1092709.68
Pam_NuGi_11320,PamPangea,Nueva York,Ginebra,6206,Airbus A320,True,17334.152368,569,248754.34
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480,Boeing 747,False,79736.8,518,423347.48
Air_PaCa_11380,Airnar,París,Cádiz,1447,Airbus A380,False,17229.1396,116,92433.36
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,True,15982.43504,523,222432.82
Fly_BaNu_10747,FlyQ,Barcelona,Nueva York,6170,Boeing 747,False,70376.254,431,353260.31
Air_GiPa_10747,Airnar,Ginebra,París,411,Boeing 747,False,4468.885200000001,47,24361.82
Mol_BaMe_10747,MoldaviAir,Bali,Melbourne,2779,Boeing 747,False,29624.14,205,161693.56
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,False,147944.88,873,781656.34
Fly_CiBa_10747,FlyQ,Cincinnati,Barcelona,6763,Boeing 747,False,72814.51580000001,470,415797.95
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,True,19387.858464,618,270457.15
Tab_LoGi_10737,TabarAir,Los Angeles,Ginebra,9103,Boeing 737,False,24111.1161,711,332964.73
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969,Boeing 747,False,75775.33080000001,484,414686.79
Tab_GiNu_10747,TabarAir,Ginebra,Nueva York,6206,Boeing 747,False,72771.55600000001,433,350374.6
Air_CaPa_11380,Airnar,Cádiz,París,1447,Airbus A380,False,17730.9592,116,94346.84
Fly_BaNu_10747,FlyQ,Bali,Nueva York,16589,Boeing 747,True,200464.395664,1305,978673.55
Mol_LoCa_10747,MoldaviAir,Londres,Cádiz,1716,Boeing 747,False,19024.2624,134,100056.73
Mol_CiMe_10747,MoldaviAir,Cincinnati,Melbourne,15262,Boeing 747,True,184428.694112,1217,858894.2
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,False,7254.301599999999,221,108115.02
Fly_CiGi_11380,FlyQ,Cincinnati,Ginebra,6969,Airbus A380,False,82978.4892,484,443739.94
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,911,Boeing 737,False,2390.8284,89,31378.13
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284,Boeing 747,False,71006.6864,438,376421.17
Air_LoCi_10737,Airnar,Los Angeles,Cincinnati,3073,Boeing 737,False,8139.455100000001,253,105371.44
Air_PaCi_11320,Airnar,París,Cincinnati,6370,Airbus A320,True,17792.22536,581,252378.09
Mol_LoCi_11320,MoldaviAir,Londres,Cincinnati,6284,Airbus A320,True,17552.016352,575,253714.2
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969,Boeing 747,False,80232.70320000002,484,428535.82
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,True,248020.549088,1535,1207389.56
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911,Boeing 747,False,10488.1608,80,51369.97
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553,Boeing 747,False,139167.5792,856,746462.79
Air_GiPa_10747,Airnar,Ginebra,París,411,Boeing 747,False,4425.0726,47,24336.11
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,False,16803.358,115,81198.61
Mol_CiMe_10737,MoldaviAir,Cincinnati,Melbourne,15262,Boeing 737,True,40498.63272,1359,523861.98
Fly_BaBa_10747,FlyQ,Barcelona,Bali,13058,Boeing 747,True,152004.52176,1070,794187.0
Fly_BaGi_10737,FlyQ,Barcelona,Ginebra,660,Boeing 737,False,1635.876,70,23970.31
Fly_BaCi_11320,FlyQ,Barcelona,Cincinnati,6763,Airbus A320,True,18007.217904,610,272191.95
Pam_BaGi_11380,PamPangea,Bali,Ginebra,12383,Airbus A380,False,153167.8036,845,764459.79
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,False,4737.876,144,64843.91
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,True,15255.96072,523,224803.23
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,72349.42,431,356243.27
Air_CiLo_11320,Airnar,Cincinnati,Los Angeles,3073,Airbus A320,False,8484.553,242,117201.01
Pam_GiPa_11320,PamPangea,Ginebra,París,411,Airbus A320,False,1124.4549,49,16086.34
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,False,15733.5204,116,87430.74
Tab_LoLo_10737,TabarAir,Los Angeles,Londres,8785,Boeing 737,False,22201.452,687,323860.65
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073,Boeing 747,False,35378.8344,224,172992.87
Tab_LoLo_10747,TabarAir,Londres,Los Angeles,8785,Boeing 747,False,93648.1,605,532324.59
Fly_BaRo_11320,FlyQ,Barcelona,Roma,859,Airbus A320,False,2307.0163,82,34564.16
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,False,877.7160000000001,46,12383.21
Pam_MePa_10747,PamPangea,Melbourne,París,16925,Boeing 747,True,195142.8128,1328,1029983.37
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,True,32546.090304,1140,458735.83
Mol_BaCi_11380,MoldaviAir,Bali,Cincinnati,15011,Airbus A380,True,194905.706112,1200,917407.38
Fly_BaGi_11380,FlyQ,Bali,Ginebra,12383,Airbus A380,False,148873.3792,845,761875.49
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,False,152368.314,856,753544.5
Air_LoGi_10737,Airnar,Los Angeles,Ginebra,9103,Boeing 737,False,22783.8987,711,330558.13
Pam_NuPa_11320,PamPangea,Nueva York,París,5835,Airbus A320,True,16145.58504,542,228064.02
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,111544.5208,626,591037.68
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566,Airbus A380,False,70133.8264,391,361918.35
Air_CiLo_11380,Airnar,Cincinnati,Los Angeles,3073,Airbus A380,False,39076.26800000001,224,196746.2
Air_GiBa_10747,Airnar,Ginebra,Bali,12383,Boeing 747,False,133322.8078,845,759816.63
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900,Boeing 747,True,198601.7696,1326,1003088.06
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,True,44483.7744,1485,613559.61
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,10077,Airbus A320,True,28409.400864,850,390412.29
Fly_RoNu_10737,FlyQ,Roma,Nueva York,6877,Boeing 737,False,16878.2211,542,241593.94
Pam_GiBa_11380,PamPangea,Ginebra,Bali,12383,Airbus A380,False,154599.2784,845,812926.12
Fly_RoCi_10737,FlyQ,Roma,Cincinnati,7480,Boeing 737,False,19266.984,588,254577.67
Tab_RoGi_11380,TabarAir,Roma,Ginebra,698,Airbus A380,False,8310.9464,66,42591.66
Mol_LoMe_10747,MoldaviAir,Londres,Melbourne,16900,Boeing 747,True,202348.9728,1326,1017780.71
Mol_PaMe_10737,MoldaviAir,París,Melbourne,16925,Boeing 737,True,44056.04580000001,1485,607631.02
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877,Boeing 747,False,76241.17280000001,478,408751.28
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925,Boeing 747,True,191390.0664,1328,1038244.08
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,True,264876.3145600001,1535,1252828.85
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,False,14877.918,442,193746.39
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,True,200461.4976,1311,1060081.65
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206,Airbus A380,False,78915.49600000001,433,384660.19
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,False,36033.998,224,184807.69
