iter	RMSE
582	83769.86238
583	83769.86226
584	83769.8622
585	83739.58505
586	83679.90816
587	83661.85462
588	83639.995
589	83612.59687
590	83584.56345
591	83563.07931
592	83531.25756
593	83518.66366
594	83484.78747
595	83465.86934
596	83410.74945
597	83383.75215
598	83382.81886
599	83362.85805
600	83325.0301
601	83325.03006
602	83304.17594
603	83273.90015
604	83261.20322
605	83242.2853
606	83210.24312
607	83187.50701
608	83161.3976
609	83160.91269
610	83142.5659
611	83119.97732
612	83111.10349
613	83081.8115
614	83067.32743
615	83046.82955
616	83023.94788
617	83004.80262
618	83003.75814
619	82978.42261
620	82978.05214
621	82958.67388
622	82935.58252
623	82923.39246
624	82874.84062
625	82841.31379
626	82820.74662
627	82791.90896
628	82791.44408
629	82749.81485
630	82708.57466
631	82689.28123
632	82672.40511
633	82659.13504
634	82647.15242
635	82637.94763
636	82613.23084
637	82581.06563
638	82566.07794
639	82566.0779
640	82535.89987
641	82502.17137
642	82501.69902
643	82469.1238
644	82455.00598
645	82408.60093
646	82384.13798
647	82352.36349
648	82308.37507
649	82272.4295
650	82264.39008
651	82263.92457
652	82263.36873
653	82216.60073
654	82206.72194
655	82191.94836
656	82157.04128
657	82126.11278
658	82119.51525
659	82074.65731
660	82046.34617
661	82018.28526
662	81989.3104
663	81971.25305
664	81944.54789
665	81904.09202
666	81876.20152
667	81859.44473
668	81833.10213
669	81820.68824
670	81795.6414
671	81757.14006
672	81742.37364
673	81715.24654
674	81703.04981
675	81691.24119
676	81672.59082
677	81650.30211
678	81625.7029
679	81612.95439
680	81593.12439
681	81584.90879
682	81546.38616
683	81536.72636
684	81482.87852
685	81471.62847
686	81457.88728
687	81439.05542
688	81424.01497
689	81416.73457
690	81401.88674
691	81386.5731
692	81380.5093
693	81350.04269
694	81317.97478
695	81307.36003
696	81293.93648
697	81270.52978
698	81243.30477
699	81217.4564
700	81181.94293
701	81173.00838
702	81140.33014
703	81129.74777
704	81107.8115
705	81081.03482
706	81070.6979
707	81064.2398
708	81054.66352
709	81040.10314
710	81024.91525
711	81006.70629
712	80984.55325
713	80954.03827
714	80928.11256
715	80892.08498
716	80866.99349
717	80866.99334
718	80839.87283
719	80839.45892
720	80802.59204
721	80771.66148
722	80754.17164
723	80741.37852
724	80733.47842
725	80710.44971
726	80689.54142
727	80667.15354
728	80645.84613
729	80636.54695
730	80584.96968
731	80571.51436
732	80559.49846
733	80533.33527
734	80488.68097
735	80474.72556
736	80450.30022
737	80425.5306
738	80407.8805
739	80381.50616
740	80347.9346
741	80326.6904
742	80317.42967
743	80302.02354
744	80283.41311
745	80257.75348
746	80219.77637
747	80197.17614
748	80184.93974
749	80162.61224
