service_date|day_type|bus|rail_boardings|total_rides
2001-04-23|W|979788|590446|1570234
2001-04-24|W|1031150|618513|1649663
2001-04-25|W|977794|609447|1587241
2001-04-26|W|1028140|624617|1652757
2001-04-27|W|1034472|610723|1645195
2001-04-28|A|624970|289747|914717
2001-04-29|U|423377|200002|623379
2001-04-30|W|1008390|600424|1608814
2001-05-01|W|1067496|632996|1700492
2001-05-02|W|1034088|627894|1661982
2001-05-03|W|1065048|634792|1699840
2001-05-04|W|1046692|621087|1667779
2001-05-05|A|637957|307025|944982
2001-05-06|U|417760|206450|624210
2001-05-07|W|1007381|598338|1605719
2001-05-08|W|1044379|621604|1665983
2001-05-09|W|1041324|619928|1661252
2001-05-10|W|1018705|614067|1632772
2001-05-11|W|1004068|600295|1604363
2001-05-12|A|649008|289167|938175
2001-05-13|U|422270|200996|623266
2001-05-14|W|963027|581644|1544671
2001-05-15|W|1035512|633053|1668565
2001-05-16|W|995884|627978|1623862
2001-05-17|W|1006118|628882|1635000
2001-05-18|W|1027834|628829|1656663
2001-05-19|A|645603|315487|961090
2001-05-20|U|427040|217899|644939
2001-05-21|W|958236|590204|1548440
2001-05-22|W|1019568|637152|1656720
2001-05-23|W|978614|619656|1598270
2001-05-24|W|973423|615727|1589150
2001-05-25|W|988982|597892|1586874
2001-05-26|A|512958|269276|782234
2001-05-27|U|390535|208208|598743
2001-05-28|U|392906|191639|584545
2001-05-29|W|1003029|595375|1598404
2001-05-30|W|1002940|607442|1610382
2001-05-31|W|965359|602748|1568107
2001-06-01|W|1057056|611631|1668687
2001-06-02|A|618944|282212|901156
2001-06-03|U|432408|204795|637203
2001-06-04|W|1029447|599699|1629146
2001-06-05|W|935443|606051|1541494
2001-06-06|W|1004243|627572|1631815
2001-06-07|W|1004748|646177|1650925
2001-06-08|W|1012502|642049|1654551
2001-06-09|A|639444|358013|997457
2001-06-10|U|438393|242257|680650
2001-06-11|W|910186|586260|1496446
2001-06-12|W|946314|605737|1552051
2001-06-13|W|911372|599114|1510486
2001-06-14|W|891710|602538|1494248
2001-06-15|W|912712|612983|1525695
2001-06-16|A|675335|340782|1016117
2001-06-17|U|422714|237483|660197
2001-06-18|W|909937|590688|1500625
2001-06-19|W|944122|613028|1557150
2001-06-20|W|939471|612707|1552178
2001-06-21|W|900375|596076|1496451
2001-06-22|W|957514|626565|1584079
2001-06-23|A|631716|328467|960183
2001-06-24|U|443240|281620|724860
2001-06-25|W|947130|621006|1568136
2001-06-26|W|944301|635326|1579627
2001-06-27|W|944274|634994|1579268
2001-06-28|W|942731|611002|1553733
2001-06-29|W|996694|666587|1663281
2001-06-30|A|649995|363078|1013073
2001-07-01|U|435317|271052|706369
2001-07-02|W|958879|627767|1586646
2001-07-03|W|990209|827670|1817879
2001-07-04|U|461383|306172|767555
2001-07-05|W|918500|606574|1525074
2001-07-06|W|958011|643965|1601976
2001-07-07|A|599172|347374|946546
2001-07-08|U|439513|256208|695721
2001-07-09|W|935542|597633|1533175
2001-07-10|W|937066|610069|1547135
2001-07-11|W|960775|614294|1575069
2001-07-12|W|949551|636236|1585787
2001-07-13|W|957097|641244|1598341
2001-07-14|A|629660|333365|963025
2001-07-15|U|420137|241827|661964
2001-07-16|W|880246|623660|1503906
2001-07-17|W|920250|625940|1546190
2001-07-18|W|935427|612765|1548192
2001-07-19|W|949691|618451|1568142
2001-07-20|W|937942|610617|1548559
2001-07-21|A|593545|305457|899002
2001-07-22|U|379766|200473|580239
2001-07-23|W|854318|574685|1429003
2001-07-24|W|939133|630753|1569886
2001-07-25|W|874776|612547|1487323
2001-07-26|W|954848|636674|1591522
2001-07-27|W|933625|634484|1568109
2001-07-28|A|607195|357848|965043
2001-07-29|U|432534|236416|668950
2001-07-30|W|908372|586076|1494448
2001-07-31|W|884617|596502|1481119
2001-08-01|W|873553|612734|1486287
2001-08-02|W|790639|549367|1340006
2001-08-03|W|984483|603405|1587888
2001-08-04|A|648406|319386|967792
2001-08-05|U|453344|225172|678516
2001-08-06|W|907499|585919|1493418
2001-08-07|W|875431|610601|1486032
2001-08-08|W|854367|596163|1450530
2001-08-09|W|846305|602242|1448547
2001-08-10|W|946431|626136|1572567
2001-08-11|A|607614|323141|930755
2001-08-12|U|420182|234020|654202
2001-08-13|W|892382|571719|1464101
2001-08-14|W|866757|598019|1464776
2001-08-15|W|878793|584203|1462996
2001-08-16|W|800887|581402|1382289
2001-08-17|W|929083|598538|1527621
2001-08-18|A|569201|296970|866171
2001-08-19|U|439920|235842|675762
2001-08-20|W|876831|606101|1482932
2001-08-21|W|894995|608242|1503237
2001-08-22|W|864392|599157|1463549
2001-08-23|W|906026|612615|1518641
2001-08-24|W|926014|619276|1545290
2001-08-25|A|518211|290626|808837
2001-08-26|U|439715|245014|684729
2001-08-27|W|900370|590849|1491219
2001-08-28|W|933626|628532|1562158
2001-08-29|W|901782|625324|1527106
2001-08-30|W|913200|617044|1530244
2001-08-31|W|986749|616977|1603726
2001-09-01|A|639977|319699|959676
2001-09-02|U|470771|243520|714291
2001-09-03|U|448248|213584|661832
2001-09-04|W|1120482|625640|1746122
2001-09-05|W|1047878|644950|1692828
2001-09-06|W|1053246|644766|1698012
2001-09-07|W|1070339|659824|1730163
2001-09-08|A|645427|341332|986759
2001-09-09|U|492026|215773|707799
2001-09-10|W|1075781|661092|1736873
2001-09-11|W|957593|525953|1483546
2001-09-12|W|931165|588507|1519672
2001-09-13|W|1010171|607718|1617889
2001-09-14|W|1034666|613645|1648311
2001-09-15|A|615097|277875|892972
2001-09-16|U|417392|191270|608662
2001-09-17|W|919985|609381|1529366
2001-09-18|W|1039365|626518|1665883
2001-09-19|W|939442|625612|1565054
2001-09-20|W|973094|646112|1619206
2001-09-21|W|967583|626032|1593615
2001-09-22|A|641096|307331|948427
2001-09-23|U|361048|190813|551861
2001-09-24|W|940207|622061|1562268
2001-09-25|W|968563|638815|1607378
2001-09-26|W|1028542|639258|1667800
2001-09-27|W|1024125|642860|1666985
2001-09-28|W|1024142|645884|1670026
2001-09-29|A|639464|330008|969472
2001-09-30|U|412037|219852|631889
2001-10-01|W|1069361|639795|1709156
2001-10-02|W|1078342|658020|1736362
2001-10-03|W|1018388|657170|1675558
2001-10-04|W|902598|649681|1552279
2001-10-05|W|1034680|651273|1685953
2001-10-06|A|628587|326860|955447
2001-10-07|U|404926|287483|692409
2001-10-08|W|802729|531294|1334023
2001-10-09|W|1055377|645072|1700449
2001-10-10|W|898767|637568|1536335
2001-10-11|W|1025128|647937|1673065
2001-10-12|W|1000153|625089|1625242
2001-10-13|A|515481|273528|789009
2001-10-14|U|409065|209437|618502
2001-10-15|W|1037513|627937|1665450
2001-10-16|W|1022047|634396|1656443
2001-10-17|W|1036702|641266|1677968
2001-10-18|W|1017434|646140|1663574
2001-10-19|W|956423|642121|1598544
2001-10-20|A|632093|319399|951492
2001-10-21|U|433014|213638|646652
2001-10-22|W|1012782|621894|1634676
2001-10-23|W|1000304|638393|1638697
2001-10-24|W|867027|625218|1492245
2001-10-25|W|947047|618401|1565448
2001-10-26|W|981933|613047|1594980
2001-10-27|A|582223|291912|874135
2001-10-28|U|405374|208481|613855
2001-10-29|W|1019942|623086|1643028
2001-10-30|W|994503|629005|1623508
2001-10-31|W|978585|628587|1607172
2001-11-01|W|1029256|641642|1670898
2001-11-02|W|1042714|645966|1688680
2001-11-03|A|648350|315004|963354
2001-11-04|U|443453|222988|666441
2001-11-05|W|1057697|629864|1687561
2001-11-06|W|1044478|638448|1682926
2001-11-07|W|1033982|640396|1674378
2001-11-08|W|1004574|636400|1640974
2001-11-09|W|931849|620257|1552106
2001-11-10|A|618184|322793|940977
2001-11-11|U|416118|218931|635049
2001-11-12|W|812747|527242|1339989
2001-11-13|W|1026715|641101|1667816
2001-11-14|W|994462|624162|1618624
2001-11-15|W|983434|615519|1598953
2001-11-16|W|1046467|623566|1670033
2001-11-17|A|653210|354828|1008038
2001-11-18|U|414683|201199|615882
2001-11-19|W|999890|600948|1600838
2001-11-20|W|1005581|612391|1617972
2001-11-21|W|988420|589664|1578084
2001-11-22|U|322788|151915|474703
2001-11-23|W|641780|356646|998426
2001-11-24|A|504548|253414|757962
2001-11-25|U|373755|186416|560171
2001-11-26|W|993754|600439|1594193
2001-11-27|W|985583|613858|1599441
2001-11-28|W|981842|614405|1596247
2001-11-29|W|972155|613392|1585547
2001-11-30|W|1039082|625037|1664119
2001-12-01|A|640965|307646|948611
2001-12-02|U|418878|210748|629626
2001-12-03|W|1051222|599106|1650328
2001-12-04|W|1049416|613294|1662710
2001-12-05|W|1039940|622264|1662204
2001-12-06|W|1020021|623428|1643449
2001-12-07|W|1023743|618300|1642043
2001-12-08|A|620074|315639|935713
2001-12-09|U|406917|207697|614614
2001-12-10|W|1005376|597416|1602792
2001-12-11|W|1010462|614387|1624849
2001-12-12|W|981259|609660|1590919
2001-12-13|W|990166|610845|1601011
2001-12-14|W|982986|600798|1583784
2001-12-15|A|623138|319051|942189
2001-12-16|U|407448|213347|620795
2001-12-17|W|995060|593314|1588374
2001-12-18|W|1014592|608735|1623327
2001-12-19|W|958790|591815|1550605
2001-12-20|W|987827|586572|1574399
2001-12-21|W|994499|569456|1563955
2001-12-22|A|586969|268254|855223
2001-12-23|U|393359|184628|577987
2001-12-24|W|525908|257022|782930
2001-12-25|U|218872|93525|312397
2001-12-26|W|619967|380064|1000031
2001-12-27|W|690465|436814|1127279
2001-12-28|W|739404|456879|1196283
2001-12-29|A|473194|224772|697966
2001-12-30|U|306871|160102|466973
2001-12-31|W|650794|321388|972182
2002-01-01|U|294360|122471|416831
2002-01-02|W|766853|491630|1258483
2002-01-03|W|838088|523292|1361380
2002-01-04|W|858709|528849|1387558
2002-01-05|A|542470|245820|788290
2002-01-06|U|370508|177606|548114
2002-01-07|W|953807|568929|1522736
2002-01-08|W|973200|585667|1558867
2002-01-09|W|985622|591671|1577293
2002-01-10|W|974188|591742|1565930
2002-01-11|W|1006535|591718|1598253
2002-01-12|A|565955|266826|832781
2002-01-13|U|371378|176272|547650
2002-01-14|W|985931|593642|1579573
2002-01-15|W|983090|601489|1584579
2002-01-16|W|955758|608009|1563767
2002-01-17|W|968715|598282|1566997
2002-01-18|W|967930|581331|1549261
2002-01-19|A|556405|273407|829812
2002-01-20|U|374069|180903|554972
2002-01-21|W|648994|392312|1041306
2002-01-22|W|1012565|603877|1616442
2002-01-23|W|990484|600427|1590911
2002-01-24|W|1007218|605974|1613192
2002-01-25|W|1028432|601352|1629784
2002-01-26|A|611356|283489|894845
2002-01-27|U|408878|189116|597994
2002-01-28|W|1009923|595606|1605529
2002-01-29|W|979719|597598|1577317
2002-01-30|W|936013|602737|1538750
2002-01-31|W|879895|602988|1482883
2002-02-01|W|954707|585087|1539794
2002-02-02|A|614544|273954|888498
2002-02-03|U|401958|180019|581977
2002-02-04|W|988315|576117|1564432
2002-02-05|W|997471|596800|1594271
2002-02-06|W|1011650|597747|1609397
2002-02-07|W|1011915|600731|1612646
2002-02-08|W|1027036|594502|1621538
2002-02-09|A|650477|296011|946488
2002-02-10|U|379613|180097|559710
2002-02-11|W|985014|592118|1577132
2002-02-12|W|811567|541814|1353381
2002-02-13|W|1019675|612626|1632301
2002-02-14|W|1014122|609706|1623828
2002-02-15|W|1007654|589737|1597391
2002-02-16|A|617307|292835|910142
2002-02-17|U|423922|209261|633183
2002-02-18|W|759013|458524|1217537
2002-02-19|W|985390|597374|1582764
2002-02-20|W|986615|601360|1587975
2002-02-21|W|977261|603816|1581077
2002-02-22|W|1016162|592329|1608491
2002-02-23|A|629609|292764|922373
2002-02-24|U|421160|199343|620503
2002-02-25|W|979843|581612|1561455
2002-02-26|W|933204|587918|1521122
2002-02-27|W|939542|587701|1527243
2002-02-28|W|941136|592045|1533181
2002-03-01|W|973482|593596|1567078
2002-03-02|A|512767|264847|777614
2002-03-03|U|331715|174890|506605
2002-03-04|W|726815|493625|1220440
2002-03-05|W|978944|588656|1567600
2002-03-06|W|1008215|593126|1601341
2002-03-07|W|1008102|594952|1603054
2002-03-08|W|993813|587766|1581579
2002-03-09|A|493346|254471|747817
2002-03-10|U|361758|180401|542159
2002-03-11|W|1008613|591093|1599706
2002-03-12|W|1021380|612457|1633837
2002-03-13|W|1022145|615718|1637863
2002-03-14|W|1010579|607626|1618205
2002-03-15|W|1005654|591415|1597069
2002-03-16|A|615103|342098|957201
2002-03-17|U|390344|189640|579984
2002-03-18|W|992913|579486|1572399
2002-03-19|W|990801|590290|1581091
2002-03-20|W|993245|591401|1584646
2002-03-21|W|930667|574802|1505469
2002-03-22|W|961386|564876|1526262
2002-03-23|A|617210|290118|907328
2002-03-24|U|370997|190845|561842
2002-03-25|W|895573|544841|1440414
2002-03-26|W|938869|571086|1509955
2002-03-27|W|989393|580724|1570117
2002-03-28|W|965734|571056|1536790
2002-03-29|W|755230|472276|1227506
2002-03-30|A|616271|268843|885114
2002-03-31|U|377026|158135|535161
2002-04-01|W|971162|566861|1538023
2002-04-02|W|970537|585155|1555692
2002-04-03|W|1007100|597081|1604181
2002-04-04|W|995075|600930|1596005
2002-04-05|W|1014222|613919|1628141
2002-04-06|A|639707|318104|957811
2002-04-07|U|355354|180625|535979
2002-04-08|W|937560|578417|1515977
2002-04-09|W|1013106|607047|1620153
2002-04-10|W|1020986|618972|1639958
2002-04-11|W|1036014|629240|1665254
2002-04-12|W|917031|591700|1508731
2002-04-13|A|631465|308737|940202
2002-04-14|U|438900|210876|649776
2002-04-15|W|926258|586214|1512472
2002-04-16|W|899896|599906|1499802
2002-04-17|W|892185|593532|1485717
2002-04-18|W|896865|594280|1491145
2002-04-19|W|905545|591974|1497519
2002-04-20|A|574009|300177|874186
2002-04-21|U|356144|190405|546549
2002-04-22|W|974101|583247|1557348
2002-04-23|W|1021788|620463|1642251
2002-04-24|W|918721|602085|1520806
2002-04-25|W|1000933|626040|1626973
2002-04-26|W|1026348|615024|1641372
2002-04-27|A|513069|272746|785815
2002-04-28|U|365481|201038|566519
2002-04-29|W|1001321|584792|1586113
2002-04-30|W|1000608|604417|1605025
2002-05-01|W|1031532|605198|1636730
2002-05-02|W|976392|598086|1574478
2002-05-03|W|1075694|606513|1682207
2002-05-04|A|660227|312131|972358
2002-05-05|U|443915|207913|651828
2002-05-06|W|994227|598141|1592368
2002-05-07|W|1010608|616111|1626719
2002-05-08|W|968509|600435|1568944
2002-05-09|W|1009271|614202|1623473
2002-05-10|W|1047188|609528|1656716
2002-05-11|A|492841|252501|745342
2002-05-12|U|358446|185931|544377
2002-05-13|W|975822|570031|1545853
2002-05-14|W|1009365|598752|1608117
2002-05-15|W|1015551|600667|1616218
2002-05-16|W|906240|579727|1485967
2002-05-17|W|991682|583205|1574887
2002-05-18|A|638862|298727|937589
2002-05-19|U|419434|204421|623855
2002-05-20|W|994112|582646|1576758
2002-05-21|W|1008846|613667|1622513
2002-05-22|W|999920|618307|1618227
2002-05-23|W|969174|606199|1575373
2002-05-24|W|995434|576461|1571895
2002-05-25|A|558891|270672|829563
2002-05-26|U|436570|216172|652742
2002-05-27|U|395210|200876|596086
2002-05-28|W|959547|588932|1548479
2002-05-29|W|980049|601576|1581625
2002-05-30|W|990460|606972|1597432
2002-05-31|W|1040502|635809|1676311
2002-06-01|A|667264|371223|1038487
2002-06-02|U|423135|238648|661783
2002-06-03|W|1001778|583147|1584925
2002-06-04|W|915667|575065|1490732
2002-06-05|W|1005307|602096|1607403
2002-06-06|W|1044279|611344|1655623
2002-06-07|W|1036716|606193|1642909
2002-06-08|A|649574|323142|972716
2002-06-09|U|446760|228298|675058
2002-06-10|W|944065|583512|1527577
2002-06-11|W|969387|604162|1573549
2002-06-12|W|986714|606658|1593372
2002-06-13|W|967153|596032|1563185
2002-06-14|W|980140|605447|1585587
2002-06-15|A|644968|318379|963347
2002-06-16|U|456833|225229|682062
2002-06-17|W|980090|576747|1556837
2002-06-18|W|996706|619540|1616246
2002-06-19|W|992928|618449|1611377
2002-06-20|W|975703|628191|1603894
2002-06-21|W|979910|616117|1596027
2002-06-22|A|634013|341170|975183
2002-06-23|U|444454|232456|676910
2002-06-24|W|884749|597643|1482392
2002-06-25|W|926613|600847|1527460
2002-06-26|W|879533|601333|1480866
2002-06-27|W|914452|613276|1527728
2002-06-28|W|934562|650340|1584902
2002-06-29|A|636792|369705|1006497
2002-06-30|U|441101|309418|750519
2002-07-01|W|948966|601509|1550475
2002-07-02|W|955991|621541|1577532
2002-07-03|W|1004276|785621|1789897
2002-07-04|U|441126|279204|720330
2002-07-05|W|807831|500685|1308516
2002-07-06|A|597877|324834|922711
2002-07-07|U|445916|256321|702237
2002-07-08|W|929870|575055|1504925
2002-07-09|W|919623|579348|1498971
2002-07-10|W|941513|591208|1532721
2002-07-11|W|969657|594276|1563933
2002-07-12|W|963191|618865|1582056
2002-07-13|A|624850|324416|949266
2002-07-14|U|433166|239865|673031
2002-07-15|W|949705|608087|1557792
2002-07-16|W|946077|621832|1567909
2002-07-17|W|931752|595378|1527130
2002-07-18|W|942643|596288|1538931
2002-07-19|W|960153|612971|1573124
2002-07-20|A|635657|339113|974770
2002-07-21|U|412477|229156|641633
2002-07-22|W|900537|595784|1496321
2002-07-23|W|955084|623156|1578240
2002-07-24|W|945502|617518|1563020
2002-07-25|W|931679|608190|1539869
2002-07-26|W|942389|590601|1532990
2002-07-27|A|595484|327980|923464
2002-07-28|U|414913|215040|629953
2002-07-29|W|893147|565324|1458471
2002-07-30|W|934322|614162|1548484
2002-07-31|W|912632|603775|1516407
2002-08-01|W|969159|607964|1577123
2002-08-02|W|1004199|612785|1616984
2002-08-03|A|674990|325279|1000269
2002-08-04|U|451144|234620|685764
2002-08-05|W|941406|569627|1511033
2002-08-06|W|955681|592722|1548403
2002-08-07|W|940727|585313|1526040
2002-08-08|W|945096|589840|1534936
2002-08-09|W|968109|592938|1561047
2002-08-10|A|667701|340015|1007716
2002-08-11|U|437332|230526|667858
2002-08-12|W|908503|579800|1488303
2002-08-13|W|871791|578996|1450787
2002-08-14|W|893558|586107|1479665
2002-08-15|W|920323|599375|1519698
2002-08-16|W|903666|592393|1496059
2002-08-17|A|644076|340569|984645
2002-08-18|U|490868|285298|776166
2002-08-19|W|847798|545503|1393301
2002-08-20|W|918696|586734|1505430
2002-08-21|W|904673|572717|1477390
2002-08-22|W|829797|533893|1363690
2002-08-23|W|903292|570031|1473323
2002-08-24|A|625725|308392|934117
2002-08-25|U|441076|227484|668560
2002-08-26|W|920546|572967|1493513
2002-08-27|W|923644|596884|1520528
2002-08-28|W|922170|590348|1512518
2002-08-29|W|808555|532322|1340877
2002-08-30|W|987793|608056|1595849
2002-08-31|A|666152|345777|1011929
2002-09-01|U|477226|257229|734455
2002-09-02|U|381482|201136|582618
2002-09-03|W|1106907|625970|1732877
2002-09-04|W|1087925|634665|1722590
2002-09-05|W|1083538|634950|1718488
2002-09-06|W|1082951|634809|1717760
2002-09-07|A|643335|318886|962221
2002-09-08|U|439942|218716|658658
2002-09-09|W|1071206|630453|1701659
2002-09-10|W|1050992|640278|1691270
2002-09-11|W|1045640|631554|1677194
2002-09-12|W|1059762|645114|1704876
2002-09-13|W|1064345|655102|1719447
2002-09-14|A|642689|327322|970011
2002-09-15|U|421429|221310|642739
2002-09-16|W|1049667|617848|1667515
2002-09-17|W|1064546|644444|1708990
2002-09-18|W|1039162|643763|1682925
2002-09-19|W|1038608|640884|1679492
2002-09-20|W|1019280|626196|1645476
2002-09-21|A|674983|330553|1005536
2002-09-22|U|416973|215142|632115
2002-09-23|W|1055515|637798|1693313
2002-09-24|W|1055580|664958|1720538
2002-09-25|W|1064437|666345|1730782
2002-09-26|W|1057421|662347|1719768
2002-09-27|W|1058970|651373|1710343
2002-09-28|A|632188|338847|971035
2002-09-29|U|421618|232441|654059
2002-09-30|W|1048696|634065|1682761
2002-10-01|W|1098830|653561|1752391
2002-10-02|W|1059836|648879|1708715
2002-10-03|W|1100107|655905|1756012
2002-10-04|W|1024955|626723|1651678
2002-10-05|A|672805|338207|1011012
2002-10-06|U|423210|223075|646285
2002-10-07|W|1086922|641838|1728760
2002-10-08|W|1074824|650758|1725582
2002-10-09|W|1064324|648974|1713298
2002-10-10|W|1072954|655002|1727956
2002-10-11|W|1074197|658585|1732782
2002-10-12|A|612527|332781|945308
2002-10-13|U|407917|323103|731020
2002-10-14|W|806818|542057|1348875
2002-10-15|W|1068455|653527|1721982
2002-10-16|W|1036205|645880|1682085
2002-10-17|W|1030300|645590|1675890
2002-10-18|W|1059316|643043|1702359
2002-10-19|A|654965|333538|988503
2002-10-20|U|424767|222167|646934
2002-10-21|W|1057968|632256|1690224
2002-10-22|W|1047657|645112|1692769
2002-10-23|W|1013066|635553|1648619
2002-10-24|W|1014798|642039|1656837
2002-10-25|W|1022926|632981|1655907
2002-10-26|A|626185|331030|957215
2002-10-27|U|413385|217556|630941
2002-10-28|W|1041265|628314|1669579
2002-10-29|W|1025525|636398|1661923
2002-10-30|W|1036745|639993|1676738
2002-10-31|W|1000155|635297|1635452
2002-11-01|W|1069031|628183|1697214
2002-11-02|A|647400|313106|960506
2002-11-03|U|418620|211506|630126
2002-11-04|W|1072235|633872|1706107
2002-11-05|W|994530|613203|1607733
2002-11-06|W|1045767|644971|1690738
2002-11-07|W|1065889|664817|1730706
2002-11-08|W|995294|646927|1642221
2002-11-09|A|630142|329264|959406
2002-11-10|U|419858|220134|639992
2002-11-11|W|780558|519021|1299579
2002-11-12|W|1029700|637242|1666942
2002-11-13|W|1035982|635224|1671206
2002-11-14|W|956533|625010|1581543
2002-11-15|W|1042694|630267|1672961
2002-11-16|A|600110|314114|914224
2002-11-17|U|393692|204651|598343
2002-11-18|W|1018831|619368|1638199
2002-11-19|W|1058349|638719|1697068
2002-11-20|W|1033748|630680|1664428
2002-11-21|W|983825|621257|1605082
2002-11-22|W|1030889|618981|1649870
2002-11-23|A|631388|353053|984441
2002-11-24|U|393321|202257|595578
2002-11-25|W|992101|602628|1594729
2002-11-26|W|959679|611673|1571352
2002-11-27|W|946620|584367|1530987
2002-11-28|U|297477|145995|443472
2002-11-29|W|676405|367260|1043665
2002-11-30|A|525319|255100|780419
2002-12-01|U|362192|187150|549342
2002-12-02|W|966808|598780|1565588
2002-12-03|W|1007666|622071|1629737
2002-12-04|W|1003459|610601|1614060
2002-12-05|W|1005218|607822|1613040
2002-12-06|W|1018401|602004|1620405
2002-12-07|A|627855|318034|945889
2002-12-08|U|396717|202070|598787
2002-12-09|W|994622|575116|1569738
2002-12-10|W|1030456|601656|1632112
2002-12-11|W|1021640|603601|1625241
2002-12-12|W|1015667|602683|1618350
2002-12-13|W|1020480|600852|1621332
2002-12-14|A|653848|325639|979487
2002-12-15|U|435253|216394|651647
2002-12-16|W|1003932|577286|1581218
2002-12-17|W|985528|583328|1568856
2002-12-18|W|939870|571921|1511791
2002-12-19|W|1020038|590493|1610531
2002-12-20|W|984913|565925|1550838
2002-12-21|A|614025|284719|898744
2002-12-22|U|404210|194323|598533
2002-12-23|W|827316|467245|1294561
2002-12-24|W|621673|319916|941589
2002-12-25|U|237547|96846|334393
2002-12-26|W|661076|372317|1033393
2002-12-27|W|744896|424575|1169471
2002-12-28|A|528087|236606|764693
2002-12-29|U|380197|181081|561278
2002-12-30|W|773707|469806|1243513
2002-12-31|W|792623|456865|1249488
2003-01-01|U|325478|169985|495463
2003-01-02|W|757781|484840|1242621
2003-01-03|W|861580|515985|1377565
2003-01-04|A|570941|255217|826158
