Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion,Incidencias
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785.0,Airbus A320,24078.9822,756.0,Problemas con el catering
Fly_GiCi_10737,FlyQ,Ginebra,Cincinnati,6969.0,Boeing 737,,,Sin incidencias
Mol_BaMe_11320,MoldaviAir,Bali,Melbourne,2779.0,Airbus A320,7114.795799999999,,Complicaciones con las puertas o ventanas
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103.0,Boeing 747,106741.778,626.0,Ave impacta con el avión
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674.0,Airbus A380,,,Sin incidencias
Fly_GiRo_10737,FlyQ,Ginebra,Roma,698.0,Boeing 737,1763.9856,73.0,Incidencias con las puertas o ventanas
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383.0,Boeing 737,31607.26077600001,,Aterrizaje de emergencia
Mol_LoPa_11320,MoldaviAir,Londres,París,,Airbus A320,915.2464,44.0,Sin incidencias
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,,Airbus A320,"1822,26",,Sin incidencias
Tab_LoRo_11320,TabarAir,Los Angeles,Roma,10077.0,Airbus A320,27357.200832,,Sin incidencias
Air_CiPa_10747,Airnar,Cincinnati,París,,Boeing 747,,444.0,Aterrizaje de emergencia
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082.0,Boeing 747,183640.229344,1272.0,Sin incidencias
Pam_NuPa_11380,PamPangea,Nueva York,París,5835.0,Airbus A380,72174.282,409.0,Sin incidencias
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589.0,Airbus A380,"199439,5936",1305.0,Emergencia médica a bordo
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798.0,Boeing 737,34607.12299200001,,Condiciones meteorológicas malas y Condiciones meteorológicas adversas
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,,Boeing 747,153234.446976,1053.0,Sin incidencias
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370.0,Airbus A380,78055.432,444.0,Discusión a bordo
Air_GiLo_11320,Airnar,Ginebra,Los Angeles,9103.0,Airbus A320,24475.345336,779.0,Sin incidencias
Pam_PaGi_11380,PamPangea,París,Ginebra,411.0,Airbus A380,5083.7412,47.0,Sin incidencias
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566.0,Airbus A380,70133.8264,391.0,Emergencia médica a bordo
Fly_BaRo_10747,FlyQ,Barcelona,Roma,,Boeing 747,9797.9258,,Emergencia del motor
Air_GiCi_11320,Airnar,Ginebra,Cincinnati,6969.0,Airbus A320,"18191,8776",624.0,Inundación entre pasajeros
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589.0,Boeing 747,"191268,781184",1305.0,Amenaza de seguridad a bordo
Tab_RoNu_10737,TabarAir,Roma,Nueva York,6877.0,Boeing 737,18382.221,542.0,Emergencia del motor y Fallo del motor
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480.0,Airbus A380,89062.864,518.0,Turbulencia severa
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011.0,Airbus A380,189491.65872,1200.0,Sin incidencias
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073.0,Boeing 747,35378.8344,224.0,Sin incidencias
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082.0,Boeing 747,"180074,399648",1272.0,Mal funcionamiento del tren de aterrizaje
Tab_LoGi_11320,TabarAir,Londres,Ginebra,739.0,Airbus A320,1854.89,73.0,Fallo leve eléctrico general
Tab_GiNu_11380,TabarAir,Ginebra,Nueva York,6206.0,Airbus A380,75328.428,433.0,Problema eléctrico general
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284.0,Boeing 747,70336.812,438.0,Condiciones meteorológicas turbias
Air_CiCa_10747,Airnar,Cincinnati,Cádiz,6624.0,Boeing 747,,,Incidencia eléctrico general
Mol_CiCa_11320,MoldaviAir,Cincinnati,Cádiz,6624.0,Airbus A320,18155.85408,600.0,"Retraso extenso en la pista de despegue,"
Air_BaGi_10747,Airnar,Bali,GInEBrA,,Boeing 747,138602.919,845.0,Sin incidencias
Air_CaLo_11320,Airnar,Cádiz,Los Angeles,9373.0,Airbus A320,25445.970368,799.0,Sin incidencias
Fly_RoCi_11380,FlyQ,Roma,Cincinnati,7480.0,Airbus A380,90792.24,,Sin incidencias
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480.0,Airbus A380,88198.176,,Amenaza de seguridad a bordo
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011.0,Airbus A380,191296.341184,1200.0,Sin incidencias
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,,Airbus A320,18555.715152,624.0,Sin incidencias
Air_LoBa_10747,Airnar,Los Angeles,Bali,12845.0,Boeing 747,148101.00032,1056.0,Sin incidencias
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262.0,Airbus A380,183485.8688,1217.0,Sin incidencias
Air_CiPa_11380,Airnar,Cincinnati,París,6370.0,Airbus A380,81000.92,444.0,Incidencias con las puertas o ventanas
Mol_PaLo_10747,MoldaviAir,París,Londres,344.0,Boeing 747,3850.392,,Sambódromo entre pasajeros
Fly_BaRo_10747,FlyQ,Bali,Roma,12738.0,Boeing 747,149691.676992,1049.0,Incidencias con el catering
Tab_LoGi_11380,TabarAir,Londres,Ginebra,739.0,Airbus A380,9140.8388,,Sin incidencias
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845.0,Airbus A380,163337.02,876.0,Incidencia de los sistemas hidráulicos
Mol_BaPa_11380,MoldaviAir,Bali,París,11980.0,Airbus A380,149567.904,818.0,Fallo grave en el sistema de entretenimiento
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011.0,Boeing 747,,1200.0,Emergencia grave del motor
Tab_RoNu_11320,TabarAir,Roma,Nueva York,6877.0,Airbus A320,18131.238008,618.0,Turbulencia severa
Tab_GiRo_11380,TabarAir,Ginebra,Roma,698.0,Airbus A380,8068.88,66.0,Despresurización de la cabina
Fly_BaBa_11380,FlyQ,Barcelona,Bali,,Airbus A380,169547.579136,1070.0,Sin incidencias
Fly_GiRo_10747,FlyQ,Ginebra,Roma,,Boeing 747,8110.341200000001,,Enfrentamiento a bordo
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103.0,Airbus A380,112596.8276,626.0,Sin incidencias
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073.0,Airbus A320,8098.8915,242.0,Sin incidencias
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073.0,Boeing 747,"34068,5072",224.0,Inundación a bordo
Air_PaCa_10747,Airnar,París,Cádiz,1447.0,Boeing 747,"16504,7714",116.0,Sin incidencias
Pam_GiLo_11320,PamPangea,Ginebra,Londres,739.0,Airbus A320,2003.2812,,Aterrizaje de emergencia
Tab_CiRo_11380,TabarAir,Cincinnati,Roma,7480.0,Airbus A380,87333.488,518.0,"Problemas con las puertas o ventanas,"
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,,Airbus A320,1805.694,67.0,Sin incidencias
Tab_LoGi_11320,TabarAir,Los Angeles,Ginebra,9103.0,Airbus A320,26138.71832,779.0,Sin incidencias
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553.0,Boeing 747,137829.4294,856.0,Emergencia eléctrico general
Air_BaCa_10747,Airnar,Bali,Cádiz,12798.0,Boeing 747,141883.7472,1053.0,Sin incidencias
Air_PaCa_11320,Airnar,París,Cádiz,1447.0,Airbus A320,3922.5276,124.0,Sin incidencias
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103.0,Airbus A380,108387.6004,626.0,Sin incidencias
Air_BaCi_10737,Airnar,Bali,Cincinnati,,Boeing 737,37935.7992,1340.0,Problema eléctrico general
Tab_LoRo_11380,TabarAir,Londres,Roma,1433.0,Airbus A380,16731.1348,115.0,"Amenaza de seguridad a bordo,"
Fly_GiBa_10747,FlyQ,Ginebra,BARcelOnA,660.0,Boeing 747,,64.0,Sin incidencias
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480.0,Boeing 747,87710.48000000001,518.0,Incidencias de navegación
Fly_NuCi_11320,FlyQ,Nueva York,Cincinnati,911.0,Airbus A320,2286.61,86.0,"Problema en el sistema de entretenimiento,"
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262.0,Boeing 737,41270.03524800001,1359.0,Problemas con el catering
Mol_CaLo_11380,MoldaviAir,Cádiz,Londres,1716.0,Airbus A380,20432.0688,134.0,Incidencias con el suministro de combustible
Pam_BaGi_10737,PamPangea,Bali,Ginebra,12383.0,Boeing 737,32859.03348000001,1140.0,Inundación entre pasajeros
Air_LoCa_10747,Airnar,Los Angeles,Cádiz,9373.0,Boeing 747,102913.6654,644.0,Enfrentamiento entre pasajeros
Mol_BaMe_11380,MoldaviAir,Bali,Melbourne,2779.0,Airbus A380,33731.502,,Sin incidencias
Fly_BaRo_10737,FlyQ,Bali,Roma,12738.0,Boeing 737,33157.21780800001,1167.0,Sin incidencias
Pam_NuLo_11380,PamPangea,Nueva York,Londres,,Airbus A380,68203.53760000001,391.0,Incidencias con el suministro de combustible
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925.0,Boeing 747,198895.5592,1328.0,Sin incidencias
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969.0,Boeing 747,76518.2262,,Sin incidencias
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,,Boeing 737,"22562,6958",,Sin incidencias
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073.0,Boeing 747,"36033,998",224.0,Inundación entre pasajeros
Pam_BaPa_10747,PamPangea,Bali,París,11980.0,Boeing 747,132815.072,818.0,Mal funcionamiento del tren de aterrizaje
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566.0,Boeing 737,13660.6338,,"Condiciones meteorológicas adversas,"
Mol_CiBa_10737,MoldaviAir,Cincinnati,Bali,15011.0,Boeing 737,40591.30514400001,1340.0,Amenaza de seguridad a bordo
Pam_BaMe_11320,PamPangea,Bali,MelBOUrnE,2779.0,Airbus A320,7533.3132,221.0,Emergencia médica a bordo
Pam_LoGi_10737,PamPangea,Londres,Ginebra,739.0,Boeing 737,1849.6431,76.0,"Emergencia de los sistemas de comunicación,"
Tab_NuCi_11380,TabarAir,Nueva York,Cincinnati,911.0,Airbus A380,10636.4716,80.0,Sin incidencias
Tab_LoLo_11380,TabarAir,Los Angeles,Londres,8785.0,Airbus A380,108663.422,605.0,Sin incidencias
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589.0,Boeing 747,185751.412496,1305.0,Condiciones meteorológicas malas y Amenaza de seguridad a bordo
Mol_CaPa_11380,MoldaviAir,Cádiz,París,1447.0,Airbus A380,18400.052,116.0,Retraso extenso en la pista de despegue
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383.0,Boeing 747,137282.8912,845.0,Sin incidencias
Air_CaLo_11380,Airnar,Cádiz,Los Angeles,9373.0,Airbus A380,111602.4364,644.0,Sin incidencias
Fly_BaGi_11320,FlyQ,Barcelona,GinEbra,660.0,Airbus A320,1689.732,67.0,Sambódromo entre pasajeros
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553.0,Boeing 747,133814.98,856.0,Aterrizaje de emergencia
Tab_RoGi_10747,TabarAir,Roma,Ginebra,,Boeing 747,8035.934400000001,66.0,Sin incidencias
Pam_BaNu_10737,PamPangea,Bali,Nueva York,16589.0,Boeing 737,"43181,43242400001",,Sin incidencias
Mol_PaBa_10747,MoldaviAir,París,Bali,11980.0,Boeing 747,134092.14,,Sin incidencias
Air_CiPa_10737,Airnar,Cincinnati,París,,Boeing 737,,503.0,Sin incidencias
Air_LoBa_10747,Airnar,Los Angeles,Bali,,Boeing 747,"149525,0484",1056.0,Emergencia médica a bordo
Pam_NuPa_10737,PamPangea,Nueva York,París,5835.0,Boeing 737,14179.05,463.0,Emergencia eléctrico general
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,10077.0,Airbus A320,27357.200832,,Sin incidencias
Mol_MeBa_10747,MoldaviAir,Melbourne,Bali,2779.0,Boeing 747,31697.8298,205.0,Despresurización de la cabina
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911.0,Boeing 747,10585.2734,80.0,Sin incidencias
Tab_RoLo_11380,TabarAir,Roma,Los Angeles,10077.0,Airbus A380,"119984,8236",691.0,"Condiciones meteorológicas adversas,"
Fly_CiGi_11320,FlyQ,Cincinnati,GInebRA,6969.0,Airbus A320,19283.390256,,Inundación entre pasajeros y Despresurización de la cabina
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,,Boeing 737,,1721.0,Sin incidencias
Air_PaGi_11380,Airnar,París,GINEbRA,411.0,Airbus A380,,47.0,Fallo en el sistema de entretenimiento
Pam_PaBa_11380,PamPangea,París,Bali,11980.0,Airbus A380,148183.016,,Sin incidencias
Pam_NuBa_11380,PamPangea,Nueva York,Bali,16589.0,Airbus A380,205422.781408,1305.0,Sin incidencias
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383.0,Boeing 747,"141242,9746",845.0,Fallo grave de los sistemas de comunicación
Air_LoBa_11380,Airnar,Los Angeles,Bali,12845.0,Airbus A380,,876.0,Problema en el sistema de entretenimiento y Fallo del motor
Pam_MePa_10737,PamPangea,Melbourne,París,16925.0,Boeing 737,44911.503,,Complicaciones con las puertas o ventanas
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073.0,Airbus A320,8253.1561,242.0,Sin incidencias
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206.0,Boeing 737,15231.3858,491.0,Sin incidencias
Mol_CaPa_11320,MoldaviAir,Cádiz,París,,Airbus A320,3995.167,124.0,Fallo leve de los sistemas hidráulicos
Air_CiPa_10747,Airnar,Cincinnati,París,6370.0,Boeing 747,74694.62000000001,444.0,Retraso extenso en la pista de despegue
Pam_LoPa_10747,PamPangea,Londres,París,344.0,Boeing 747,3740.3808,42.0,Sin incidencias
Tab_CiGi_11380,TabarAir,Cincinnati,GIneBra,6969.0,Airbus A380,,484.0,Incidencia de los sistemas hidráulicos
Fly_CiGi_10737,FlyQ,Cincinnati,Ginebra,6969.0,Boeing 737,17781.4035,549.0,Fallo leve eléctrico general
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077.0,Boeing 747,,691.0,Inundación a bordo
Tab_NuRo_10737,TabarAir,Nueva York,Roma,6877.0,Boeing 737,"17379,5544",542.0,"Amenaza de seguridad a bordo,"
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206.0,Boeing 747,69463.75800000002,433.0,"Sambódromo a bordo,"
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624.0,Boeing 747,76966.9056,461.0,Mal funcionamiento del tren de aterrizaje
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480.0,Boeing 747,83723.64,518.0,Sin incidencias
Air_LoCi_11320,Airnar,Los Angeles,Cincinnati,3073.0,Airbus A320,8330.2884,242.0,Sin incidencias
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877.0,Airbus A320,19028.824048,618.0,Turbulencia severa
Pam_GiPa_10747,PamPangea,Ginebra,París,411.0,Boeing 747,,47.0,Sin incidencias
Tab_RoLo_10747,TabarAir,Roma,Londres,1433.0,Boeing 747,16345.0846,115.0,Incidencias con las puertas o ventanas
Tab_LoCi_11320,TabarAir,Los Angeles,Cincinnati,3073.0,Airbus A320,8176.0238,242.0,Sin incidencias
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944.0,Boeing 747,42463.4704,282.0,Sin incidencias
Tab_NuCi_10747,TabarAir,Nueva York,Cincinnati,911.0,Boeing 747,,80.0,Inundación entre pasajeros
Tab_LoNu_11320,TabarAir,Los Angeles,Nueva York,,Airbus A320,,305.0,Fallo leve de los sistemas de comunicación y Amenaza de seguridad a bordo
Pam_BaPa_11380,PamPangea,Bali,París,11980.0,Airbus A380,150952.792,818.0,Complicaciones con las puertas o ventanas
Pam_GiMe_10747,PamPangea,Ginebra,Melbourne,16674.0,Boeing 747,194097.36528,1311.0,Sambódromo a bordo
Fly_NuRo_10747,FlyQ,Nueva York,Roma,6877.0,Boeing 747,74041.9082,478.0,Problemas con el suministro de combustible
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698.0,Boeing 737,1747.0242,73.0,Fallo en el sistema de entretenimiento
Tab_GiLo_10737,TabarAir,Ginebra,Los Angeles,9103.0,Boeing 737,22120.29,,Sin incidencias
Pam_LoBa_10737,PamPangea,Londres,Bali,12553.0,Boeing 737,32992.899264,1153.0,Sin incidencias
Fly_GiNu_11320,FlyQ,Ginebra,Nueva York,,Airbus A320,17010.14952,,Aterrizaje de emergencia
Fly_NuBa_10747,FlyQ,Nueva York,Bali,16589.0,Boeing 747,194947.026976,,Problema en el sistema de entretenimiento
Tab_NuGi_11380,TabarAir,Nueva York,GINebRa,6206.0,Airbus A380,76763.2552,,Sin incidencias
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103.0,Boeing 737,,711.0,Sin incidencias
Fly_NuRo_11320,FlyQ,Nueva York,Roma,6877.0,Airbus A320,"18490,272424",,Sin incidencias
Tab_GiLo_10737,TabarAir,Ginebra,Londres,,Boeing 737,,76.0,Fallo eléctrico general y Fallo de los sistemas hidráulicos
Fly_NuGi_11380,FlyQ,Nueva York,GINEbRa,6206.0,Airbus A380,73176.1872,433.0,Inundación a bordo
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566.0,Boeing 737,14472.1566,442.0,Aterrizaje de emergencia
Mol_BaCa_11380,MoldaviAir,Bali,Cádiz,12798.0,Airbus A380,156821.5728,873.0,Sin incidencias
Mol_CiCa_11380,MoldaviAir,Cincinnati,Cádiz,6624.0,Airbus A380,79636.3776,461.0,Incidencias con el suministro de combustible
Pam_BaLo_11380,PamPangea,Bali,Londres,12553.0,Airbus A380,,856.0,Sin incidencias
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170.0,Boeing 747,71033.976,431.0,Sin incidencias
Mol_LoMe_11380,MoldaviAir,Londres,MeLbourne,16900.0,Airbus A380,213337.488,1326.0,Sin incidencias
Pam_NuGi_11320,PamPangea,Nueva York,GiNeBra,6206.0,Airbus A320,17334.152368,569.0,Sin incidencias
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480.0,Boeing 747,79736.8,,Despresurización de la cabina y Fallo eléctrico general
Air_PaCa_11380,Airnar,París,Cádiz,1447.0,Airbus A380,17229.1396,116.0,Sambódromo entre pasajeros
Tab_NuLo_11320,TabarAir,Nueva York,Londres,,Airbus A320,15982.43504,523.0,Ave impacta con el avión
Fly_BaNu_10747,FlyQ,Barcelona,Nueva York,6170.0,Boeing 747,70376.254,431.0,Despresurización de la cabina
Air_GiPa_10747,Airnar,Ginebra,París,411.0,Boeing 747,4468.885200000001,47.0,Sin incidencias
Mol_BaMe_10747,MoldaviAir,Bali,Melbourne,2779.0,Boeing 747,29624.14,,Problemas con el catering y Problemas de navegación
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798.0,Airbus A380,147944.88,873.0,Retraso extenso en la pista de despegue
Fly_CiBa_10747,FlyQ,Cincinnati,Barcelona,6763.0,Boeing 747,72814.51580000001,470.0,Inundación entre pasajeros
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877.0,Airbus A320,"19387,858464",618.0,Problemas con las puertas o ventanas
Tab_LoGi_10737,TabarAir,Los Angeles,Ginebra,9103.0,Boeing 737,,711.0,Inundación entre pasajeros
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969.0,Boeing 747,75775.33080000001,,Sin incidencias
Tab_GiNu_10747,TabarAir,Ginebra,Nueva York,6206.0,Boeing 747,72771.55600000001,,Sin incidencias
Air_CaPa_11380,Airnar,Cádiz,París,1447.0,Airbus A380,17730.9592,116.0,Problemas de navegación
Fly_BaNu_10747,FlyQ,Bali,Nueva York,16589.0,Boeing 747,200464.395664,1305.0,Sin incidencias
Mol_LoCa_10747,MoldaviAir,Londres,Cádiz,1716.0,Boeing 747,19024.2624,,Enfrentamiento a bordo y Amenaza de seguridad a bordo
Mol_CiMe_10747,MoldaviAir,Cincinnati,Melbourne,15262.0,Boeing 747,184428.694112,,Fallo del motor
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779.0,Airbus A320,7254.301599999999,221.0,Sin incidencias
Fly_CiGi_11380,FlyQ,Cincinnati,Ginebra,6969.0,Airbus A380,82978.4892,484.0,Sin incidencias
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,,Boeing 737,2390.8284,89.0,Fallo grave de los sistemas hidráulicos
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284.0,Boeing 747,71006.6864,438.0,Aterrizaje de emergencia
Air_LoCi_10737,Airnar,Los Angeles,Cincinnati,3073.0,Boeing 737,,,Sin incidencias
Air_PaCi_11320,Airnar,París,Cincinnati,6370.0,Airbus A320,17792.22536,581.0,Sin incidencias
Mol_LoCi_11320,MoldaviAir,Londres,Cincinnati,6284.0,Airbus A320,17552.016352,575.0,Fallo leve de los sistemas de comunicación
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969.0,Boeing 747,80232.70320000002,484.0,Sin incidencias
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029.0,Airbus A380,248020.549088,1535.0,Sin incidencias
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911.0,Boeing 747,10488.1608,80.0,Fallo grave en el sistema de entretenimiento
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553.0,Boeing 747,,,Emergencia grave eléctrico general
Air_GiPa_10747,Airnar,Ginebra,París,411.0,Boeing 747,4425.0726,47.0,Incidencias con el catering
Tab_RoLo_10747,TabarAir,Roma,Londres,1433.0,Boeing 747,16803.358,115.0,Problema eléctrico general
Mol_CiMe_10737,MoldaviAir,Cincinnati,MelbOUrnE,,Boeing 737,40498.63272,1359.0,Sin incidencias
Fly_BaBa_10747,FlyQ,Barcelona,Bali,13058.0,Boeing 747,"152004,52176",1070.0,Sin incidencias
Fly_BaGi_10737,FlyQ,Barcelona,Ginebra,660.0,Boeing 737,1635.876,70.0,Turbulencia severa
Fly_BaCi_11320,FlyQ,Barcelona,Cincinnati,6763.0,Airbus A320,18007.217904,610.0,Sin incidencias
Pam_BaGi_11380,PamPangea,Bali,GIneBrA,,Airbus A380,,845.0,Sin incidencias
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716.0,Airbus A320,4737.876,144.0,Fallo de los sistemas de comunicación
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566.0,Airbus A320,15255.96072,523.0,Ave impacta con el avión
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170.0,Boeing 747,72349.42,431.0,Sin incidencias
Air_CiLo_11320,Airnar,Cincinnati,Los Angeles,3073.0,Airbus A320,,242.0,Sin incidencias
Pam_GiPa_11320,PamPangea,Ginebra,París,411.0,Airbus A320,"1124,4549",49.0,Despresurización de la cabina
Air_PaCa_10747,Airnar,París,Cádiz,1447.0,Boeing 747,15733.5204,116.0,Fallo grave de los sistemas hidráulicos
Tab_LoLo_10737,TabarAir,Los Angeles,Londres,8785.0,Boeing 737,22201.452,687.0,Sin incidencias
