Aircompany,Origen,Destino,Distancia,avion,con_escala,consumo_kg,duracion,ingresos,Id_vuelo,IC,Categoria_IC,Incidencias,Hora_Vuelo
TabarAir,Londres,Ginebra,739,Airbus A380,False,9140.8388,69,48060.89,Tab_LoGi_11380,12.3692,C,Sin incidencias,08:30 02/05/2023
Airnar,Bali,Los Angeles,12845,Airbus A380,False,163337.02,876,770994.1,Air_BaLo_11380,12.716,C,Incidencia de los sistemas hidráulicos,06:30 03/05/2023
MoldaviAir,Bali,París,11980,Airbus A380,False,149567.904,818,786396.13,Mol_BaPa_11380,12.484800000000002,C,Fallo grave en el sistema de entretenimiento,18:00 18/11/2023
MoldaviAir,Bali,Cincinnati,15011,Boeing 747,True,178067.206928,1200,910278.42,Mol_BaCi_10747,11.862448,C,Emergencia grave del motor,23:00 30/08/2023
TabarAir,Roma,Nueva York,6877,Airbus A320,True,18131.238008,618,279534.74,Tab_RoNu_11320,2.636504,A,Turbulencia severa,23:30 30/07/2023
TabarAir,Ginebra,Roma,698,Airbus A380,False,8068.88,66,45881.01,Tab_GiRo_11380,11.56,C,Despresurización de la cabina,21:15 18/03/2023
FlyQ,Barcelona,Bali,13058,Airbus A380,True,169547.579136,1070,843417.83,Fly_BaBa_11380,12.984191999999998,C,Sin incidencias,22:30 22/07/2023
FlyQ,Ginebra,Roma,698,Boeing 747,False,8110.341200000001,66,40315.51,Fly_GiRo_10747,11.6194,C,Enfrentamiento a bordo,06:45 28/06/2023
TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,112596.8276,626,563483.26,Tab_LoGi_11380,12.3692,C,Sin incidencias,11:00 10/01/2023
TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,False,8098.8915,242,116462.81,Tab_CiLo_11320,2.6355,A,Sin incidencias,14:00 17/04/2023
Airnar,Cincinnati,Los Angeles,3073,Boeing 747,False,34068.5072,224,188281.64,Air_CiLo_10747,11.0864,C,Inundación a bordo,09:00 29/01/2023
Airnar,París,Cádiz,1447,Boeing 747,False,16504.7714,116,86382.34,Air_PaCa_10747,11.4062,C,Sin incidencias,13:30 29/08/2023
PamPangea,Ginebra,Londres,739,Airbus A320,False,2003.2812,73,29144.66,Pam_GiLo_11320,2.7108,A,Aterrizaje de emergencia,19:30 29/05/2023
TabarAir,Cincinnati,Roma,7480,Airbus A380,False,87333.488,518,480168.35,Tab_CiRo_11380,11.6756,C,"Problemas con las puertas o ventanas,",20:00 28/04/2023
FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1805.694,67,27132.08,Fly_BaGi_11320,2.7359,A,Sin incidencias,18:45 16/10/2023
TabarAir,Los Angeles,Ginebra,9103,Airbus A320,True,26138.71832,779,346038.61,Tab_LoGi_11320,2.87144,A,Sin incidencias,14:45 29/06/2023
MoldaviAir,Bali,Londres,12553,Boeing 747,False,137829.4294,856,772668.24,Mol_BaLo_10747,10.9798,B,Emergencia eléctrico general,15:00 04/03/2023
Airnar,Bali,Cádiz,12798,Boeing 747,True,141883.7472,1053,736530.54,Air_BaCa_10747,11.0864,C,Sin incidencias,21:00 21/08/2023
Airnar,París,Cádiz,1447,Airbus A320,False,3922.5276,124,58349.67,Air_PaCa_11320,2.7108,A,Sin incidencias,17:30 18/02/2023
TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,108387.6004,626,596722.74,Tab_LoGi_11380,11.9068,C,Sin incidencias,08:45 15/11/2023
Airnar,Bali,Cincinnati,15011,Boeing 737,True,37935.7992,1340,544087.81,Air_BaCi_10737,2.5272,A,Problema eléctrico general,20:30 26/09/2023
TabarAir,Londres,Roma,1433,Airbus A380,False,16731.1348,115,92166.24,Tab_LoRo_11380,11.6756,C,"Amenaza de seguridad a bordo,",20:15 16/04/2023
FlyQ,Ginebra,Barcelona,660,Boeing 747,False,7246.668000000001,64,39176.01,Fly_GiBa_10747,10.9798,B,Sin incidencias,19:15 27/03/2023
FlyQ,Cincinnati,Roma,7480,Boeing 747,False,87710.48000000001,518,442722.98,Fly_CiRo_10747,11.726,C,Incidencias de navegación,12:30 18/09/2023
FlyQ,Nueva York,Cincinnati,911,Airbus A320,False,2286.61,86,37073.88,Fly_NuCi_11320,2.51,A,"Problema en el sistema de entretenimiento,",22:30 26/09/2023
MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,True,41270.03524800001,1359,532426.22,Mol_MeCi_10737,2.7041040000000005,A,Problemas con el catering,10:45 14/01/2023
MoldaviAir,Cádiz,Londres,1716,Airbus A380,False,20432.0688,134,107529.92,Mol_CaLo_11380,11.9068,C,Incidencias con el suministro de combustible,23:45 09/08/2023
PamPangea,Bali,Ginebra,12383,Boeing 737,True,32859.03348000001,1140,435383.65,Pam_BaGi_10737,2.653560000000001,A,Inundación entre pasajeros,09:00 17/06/2023
Airnar,Los Angeles,Cádiz,9373,Boeing 747,False,102913.6654,644,558916.7,Air_LoCa_10747,10.9798,B,Enfrentamiento entre pasajeros,20:00 18/08/2023
MoldaviAir,Bali,Melbourne,2779,Airbus A380,False,33731.502,205,178872.9,Mol_BaMe_11380,12.138,C,Sin incidencias,12:00 11/11/2023
FlyQ,Bali,Roma,12738,Boeing 737,True,33157.21780800001,1167,434090.32,Fly_BaRo_10737,2.6030160000000007,A,Sin incidencias,19:00 11/08/2023
PamPangea,Nueva York,Londres,5566,Airbus A380,False,68203.53760000001,391,339708.1,Pam_NuLo_11380,12.253600000000002,C,Incidencias con el suministro de combustible,09:30 07/05/2023
MoldaviAir,Melbourne,París,16925,Boeing 747,True,198895.5592,1328,1040203.31,Mol_MePa_10747,11.751584,C,Sin incidencias,13:30 02/02/2023
Airnar,Ginebra,Cincinnati,6969,Boeing 747,False,76518.2262,484,423323.89,Air_GiCi_10747,10.9798,B,Sin incidencias,20:30 13/06/2023
Airnar,Ginebra,Los Angeles,9103,Boeing 737,False,22562.6958,711,319317.4,Air_GiLo_10737,2.4786,A,Sin incidencias,21:15 03/09/2023
TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,False,36033.998,224,176237.47,Tab_LoCi_10747,11.726,C,Inundación entre pasajeros,08:00 30/03/2023
PamPangea,Bali,París,11980,Boeing 747,False,132815.072,818,689854.62,Pam_BaPa_10747,11.0864,C,Mal funcionamiento del tren de aterrizaje,15:00 19/05/2023
PamPangea,Nueva York,Londres,5566,Boeing 737,False,13660.6338,442,199978.27,Pam_NuLo_10737,2.4543,A,"Condiciones meteorológicas adversas,",14:30 05/03/2023
MoldaviAir,Cincinnati,Bali,15011,Boeing 737,True,40591.30514400001,1340,508746.33,Mol_CiBa_10737,2.704104000000001,A,Amenaza de seguridad a bordo,22:15 31/10/2023
PamPangea,Bali,Melbourne,2779,Airbus A320,False,7533.3132,221,113935.54,Pam_BaMe_11320,2.7108,A,Emergencia médica a bordo,08:45 27/05/2023
PamPangea,Londres,Ginebra,739,Boeing 737,False,1849.6431,76,25300.79,Pam_LoGi_10737,2.5029,A,"Emergencia de los sistemas de comunicación,",07:15 24/04/2023
TabarAir,Nueva York,Cincinnati,911,Airbus A380,False,10636.4716,80,55122.45,Tab_NuCi_11380,11.6756,C,Sin incidencias,14:00 28/03/2023
TabarAir,Los Angeles,Londres,8785,Airbus A380,False,108663.422,605,527460.26,Tab_LoLo_11380,12.3692,C,Sin incidencias,22:30 03/01/2023
PamPangea,Nueva York,Bali,16589,Boeing 747,True,185751.412496,1305,1005296.14,Pam_NuBa_10747,11.197264,C,Condiciones meteorológicas malas y Amenaza de seguridad a bordo,08:15 04/08/2023
MoldaviAir,Cádiz,París,1447,Airbus A380,False,18400.052,116,91217.9,Mol_CaPa_11380,12.716,C,Retraso extenso en la pista de despegue,10:30 15/06/2023
FlyQ,Ginebra,Bali,12383,Boeing 747,False,137282.8912,845,753226.68,Fly_GiBa_10747,11.0864,C,Sin incidencias,18:30 28/04/2023
Airnar,Cádiz,Los Angeles,9373,Airbus A380,False,111602.4364,644,566093.15,Air_CaLo_11380,11.9068,C,Sin incidencias,12:00 17/05/2023
FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1689.732,67,25309.54,Fly_BaGi_11320,2.5602,A,Sambódromo entre pasajeros,19:30 23/10/2023
MoldaviAir,Londres,Bali,12553,Boeing 747,False,133814.98,856,737511.61,Mol_LoBa_10747,10.66,B,Aterrizaje de emergencia,19:45 11/10/2023
TabarAir,Roma,Ginebra,698,Boeing 747,False,8035.934400000001,66,42073.88,Tab_RoGi_10747,11.512800000000002,C,Sin incidencias,19:15 19/08/2023
PamPangea,Bali,Nueva York,16589,Boeing 737,True,43181.43242400001,1459,613754.55,Pam_BaNu_10737,2.6030160000000007,A,Sin incidencias,20:15 26/06/2023
MoldaviAir,París,Bali,11980,Boeing 747,False,134092.14,818,737139.73,Mol_PaBa_10747,11.193,C,Sin incidencias,07:30 06/04/2023
Airnar,Cincinnati,París,6370,Boeing 737,False,17027.01,503,232331.04,Air_CiPa_10737,2.673,A,Sin incidencias,16:00 19/01/2023
Airnar,Los Angeles,Bali,12845,Boeing 747,True,149525.0484,1056,738241.39,Air_LoBa_10747,11.64072,C,Emergencia médica a bordo,22:00 08/01/2023
PamPangea,Nueva York,París,5835,Boeing 737,False,14179.05,463,203192.72,Pam_NuPa_10737,2.43,A,Emergencia eléctrico general,20:30 27/10/2023
TabarAir,Roma,Los Angeles,10077,Airbus A320,True,27357.200832,850,398312.87,Tab_RoLo_11320,2.714816,A,Sin incidencias,11:00 28/07/2023
MoldaviAir,Melbourne,Bali,2779,Boeing 747,False,31697.8298,205,168431.23,Mol_MeBa_10747,11.4062,C,Despresurización de la cabina,09:00 12/03/2023
FlyQ,Cincinnati,Nueva York,911,Boeing 747,False,10585.2734,80,51984.47,Fly_CiNu_10747,11.6194,C,Sin incidencias,07:30 02/09/2023
TabarAir,Roma,Los Angeles,10077,Airbus A380,False,119984.8236,691,614848.04,Tab_RoLo_11380,11.9068,C,"Condiciones meteorológicas adversas,",06:30 21/07/2023
FlyQ,Cincinnati,Ginebra,6969,Airbus A320,True,19283.390256,624,279409.02,Fly_CiGi_11320,2.767024,A,Inundación entre pasajeros y Despresurización de la cabina,14:45 22/10/2023
MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,True,51629.634576,1721,709663.9,Mol_MeCa_10737,2.577744,A,Sin incidencias,11:00 28/01/2023
Airnar,París,Ginebra,411,Airbus A380,False,5083.7412,47,26921.99,Air_PaGi_11380,12.3692,C,Fallo en el sistema de entretenimiento,19:00 17/05/2023
PamPangea,París,Bali,11980,Airbus A380,False,148183.016,818,726544.74,Pam_PaBa_11380,12.3692,C,Sin incidencias,22:15 15/01/2023
PamPangea,Nueva York,Bali,16589,Airbus A380,True,205422.781408,1305,1076927.04,Pam_NuBa_11380,12.383072,C,Sin incidencias,06:15 04/07/2023
FlyQ,Ginebra,Bali,12383,Boeing 747,False,141242.9746,845,699278.57,Fly_GiBa_10747,11.406199999999998,C,Fallo grave de los sistemas de comunicación,17:30 21/10/2023
Airnar,Los Angeles,Bali,12845,Airbus A380,False,154427.728,876,784272.16,Air_LoBa_11380,12.0224,C,Problema en el sistema de entretenimiento y Fallo del motor,06:45 12/03/2023
PamPangea,Melbourne,París,16925,Boeing 737,True,44911.503,1485,616569.14,Pam_MePa_10737,2.65356,A,Complicaciones con las puertas o ventanas,10:30 22/03/2023
TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,False,8253.1561,242,118739.55,Tab_CiLo_11320,2.6857,A,Sin incidencias,09:30 06/02/2023
PamPangea,Nueva York,Ginebra,6206,Boeing 737,False,15231.3858,491,213893.2,Pam_NuGi_10737,2.4543,A,Sin incidencias,06:15 23/01/2023
MoldaviAir,Cádiz,París,1447,Airbus A320,False,3995.167,124,57539.57,Mol_CaPa_11320,2.761,A,Fallo leve de los sistemas hidráulicos,14:45 05/01/2023
Airnar,Cincinnati,París,6370,Boeing 747,False,74694.62000000001,444,391639.16,Air_CiPa_10747,11.726,C,Retraso extenso en la pista de despegue,09:00 21/05/2023
PamPangea,Londres,París,344,Boeing 747,False,3740.3808,42,20965.83,Pam_LoPa_10747,10.8732,B,Sin incidencias,06:45 19/03/2023
TabarAir,Cincinnati,Ginebra,6969,Airbus A380,False,80561.64,484,435471.46,Tab_CiGi_11380,11.56,C,Incidencia de los sistemas hidráulicos,09:30 02/09/2023
FlyQ,Cincinnati,Ginebra,6969,Boeing 737,False,17781.4035,549,238034.31,Fly_CiGi_10737,2.5515,A,Fallo leve eléctrico general,15:00 18/10/2023
TabarAir,Los Angeles,Roma,10077,Boeing 747,False,111717.6528,691,623089.41,Tab_LoRo_10747,11.0864,C,Inundación a bordo,11:00 13/09/2023
TabarAir,Nueva York,Roma,6877,Boeing 737,False,17379.5544,542,240972.01,Tab_NuRo_10737,2.5272,A,"Amenaza de seguridad a bordo,",10:00 09/07/2023
FlyQ,Ginebra,Nueva York,6206,Boeing 747,False,69463.75800000002,433,371487.2,Fly_GiNu_10747,11.193000000000003,C,"Sambódromo a bordo,",18:00 10/06/2023
MoldaviAir,Cincinnati,Cádiz,6624,Boeing 747,False,76966.9056,461,379676.02,Mol_CiCa_10747,11.6194,C,Mal funcionamiento del tren de aterrizaje,20:30 07/10/2023
FlyQ,Cincinnati,Roma,7480,Boeing 747,False,83723.64,518,430715.06,Fly_CiRo_10747,11.193,C,Sin incidencias,21:45 16/04/2023
Airnar,Los Angeles,Cincinnati,3073,Airbus A320,False,8330.2884,242,117587.87,Air_LoCi_11320,2.7108,A,Sin incidencias,07:15 14/10/2023
FlyQ,Roma,Nueva York,6877,Airbus A320,True,19028.824048,618,277928.68,Fly_RoNu_11320,2.767024,A,Turbulencia severa,13:45 18/11/2023
PamPangea,Ginebra,París,411,Boeing 747,False,4775.5734,47,23372.28,Pam_GiPa_10747,11.6194,C,Sin incidencias,09:00 17/04/2023
TabarAir,Roma,Londres,1433,Boeing 747,False,16345.0846,115,82105.96,Tab_RoLo_10747,11.4062,C,Incidencias con las puertas o ventanas,20:00 25/04/2023
TabarAir,Los Angeles,Cincinnati,3073,Airbus A320,False,8176.0238,242,118656.28,Tab_LoCi_11320,2.6606,A,Sin incidencias,07:00 30/06/2023
TabarAir,Nueva York,Los Angeles,3944,Boeing 747,False,42463.4704,282,227189.58,Tab_NuLo_10747,10.7666,B,Sin incidencias,22:30 08/11/2023
TabarAir,Nueva York,Cincinnati,911,Boeing 747,False,10196.823,80,53019.72,Tab_NuCi_10747,11.193,C,Inundación entre pasajeros,14:00 25/09/2023
